Game Number,Agent Name,Balance,Games Won
87,Agent 706,10000,0
87,Agent 707,10000,0
88,Agent 705,157912.0,1
88,Agent 708,10000,0
88,Agent 709,10000,0
88,Agent 710,10000,0
88,Agent 711,10000,0
88,Agent 712,10000,0
88,Agent 713,10000,0
88,Agent 714,10000,0
88,Agent 715,10000,0
88,Agent 716,10000,0
89,Agent 712,172888.0,1
89,Agent 705,51844.46400000001,1
89,Agent 717,10000,0
89,Agent 718,10000,0
89,Agent 719,10000,0
89,Agent 720,10000,0
89,Agent 721,10000,0
89,Agent 722,10000,0
89,Agent 723,10000,0
89,Agent 724,10000,0
90,Agent 722,283112.0,1
90,Agent 712,14273.819999999989,1
90,Agent 725,10000,0
90,Agent 726,10000,0
90,Agent 727,10000,0
90,Agent 728,10000,0
90,Agent 729,10000,0
90,Agent 730,10000,0
90,Agent 731,10000,0
90,Agent 732,10000,0
91,Agent 732,219001.0,1
91,Agent 722,142545.96,1
91,Agent 733,10000,0
91,Agent 734,10000,0
91,Agent 735,10000,0
91,Agent 736,10000,0
91,Agent 737,10000,0
91,Agent 738,10000,0
91,Agent 739,10000,0
91,Agent 740,10000,0
92,Agent 734,71713.0,1
92,Agent 732,340045.63,2
92,Agent 722,23907.589999999982,1
92,Agent 741,10000,0
92,Agent 742,10000,0
92,Agent 743,10000,0
92,Agent 744,10000,0
92,Agent 745,10000,0
92,Agent 746,10000,0
92,Agent 747,10000,0
93,Agent 732,258958.104,2
93,Agent 734,244832.0,2
93,Agent 748,10000,0
93,Agent 749,10000,0
93,Agent 750,10000,0
93,Agent 751,10000,0
93,Agent 752,10000,0
93,Agent 753,10000,0
93,Agent 754,10000,0
93,Agent 755,10000,0
94,Agent 752,240921.0,1
94,Agent 734,91678.4,2
94,Agent 756,10000,0
94,Agent 757,10000,0
94,Agent 758,10000,0
94,Agent 759,10000,0
94,Agent 760,10000,0
94,Agent 761,10000,0
94,Agent 762,10000,0
94,Agent 763,10000,0
95,Agent 760,272711.0,1
95,Agent 752,21846.432,1
95,Agent 764,10000,0
95,Agent 765,10000,0
95,Agent 766,10000,0
95,Agent 767,10000,0
95,Agent 768,10000,0
95,Agent 769,10000,0
95,Agent 770,10000,0
95,Agent 771,10000,0
96,Agent 768,98206.0,1
96,Agent 760,238140.4272,1
96,Agent 772,10000,0
96,Agent 773,10000,0
96,Agent 774,10000,0
96,Agent 775,10000,0
96,Agent 776,10000,0
96,Agent 777,10000,0
96,Agent 778,10000,0
96,Agent 779,10000,0
97,Agent 760,31124.262527999996,1
97,Agent 773,177336.0,1
97,Agent 777,177336.0,1
97,Agent 780,10000,0
97,Agent 781,10000,0
97,Agent 782,10000,0
97,Agent 783,10000,0
97,Agent 784,10000,0
97,Agent 785,10000,0
97,Agent 786,10000,0
98,Agent 777,15915.23999999998,1
98,Agent 784,349694.0,1
98,Agent 773,15915.240000000005,1
98,Agent 787,10000,0
98,Agent 788,10000,0
98,Agent 789,10000,0
98,Agent 790,10000,0
98,Agent 791,10000,0
98,Agent 792,10000,0
98,Agent 793,10000,0
99,Agent 784,337517.984,1
99,Agent 773,3739.2240000000024,1
99,Agent 793,101542.0,1
99,Agent 777,3739.2239999999765,1
99,Agent 794,10000,0
99,Agent 795,10000,0
99,Agent 796,10000,0
99,Agent 797,10000,0
99,Agent 798,10000,0
99,Agent 799,10000,0
100,Agent 796,169070.0,1
100,Agent 784,156151.34720000002,1
100,Agent 800,10000,0
100,Agent 801,10000,0
100,Agent 802,10000,0
100,Agent 803,10000,0
100,Agent 804,10000,0
100,Agent 805,10000,0
100,Agent 806,10000,0
100,Agent 807,10000,0
101,Agent 806,99725.4128,1
101,Agent 796,159100.4128,1
101,Agent 784,146181.76,1
101,Agent 808,10000,0
101,Agent 809,10000,0
101,Agent 810,10000,0
101,Agent 811,10000,0
101,Agent 812,10000,0
101,Agent 813,10000,0
101,Agent 814,10000,0
102,Agent 806,351745.0,2
102,Agent 796,10239.653422079993,1
102,Agent 815,10000,0
102,Agent 816,10000,0
102,Agent 817,10000,0
102,Agent 818,10000,0
102,Agent 819,10000,0
102,Agent 820,10000,0
102,Agent 821,10000,0
102,Agent 822,10000,0
103,Agent 820,208864.0,1
103,Agent 806,233120.58,2
103,Agent 823,10000,0
103,Agent 824,10000,0
